Chapter_Name,Chapter_Code,Concept_Name
Limits,C151000029,
Differentiation & Integration,C151000030,
Vectors,C151000031,
Linear Inequations,C151000032,
Logarithm,C151000033,
Statistics (Measures of Dispersion),C151000034,
Probability,C151000035,
Locus,C151000036,
Straight Line,C151000037,
Factorization Formulae,C151000038,
Trigonometric Functions,C151000039,
Compound Angles,C151000040,
Integration,C151000189,
Introduction to Three–dimensional Geometry,C151000197,
Derivatives,C151000198,
Mathematical Reasoning,C151000199,
Limits and derivatives,C151000293,
Maths Revision,C151000469,
Doubt Solving,C161000521,
Determinants,CHP000062,
Matrices,CHP000078,
Basic_Mathematics_II,CHP000119,
Permutation_and_Combination,CHP000134,
Sequences_and_Series,CHP000144,
Mathematical_Induction,CHP000156,
Binomial_Theorem,CHP000157,
Sets,CHP000166,
Complex_Number,CHP000184,
Quadratic_Equation,CHP000185,
Angle_Measurement_and_Ratios,CHP000191,
Basic_Mathematics_I_Punjab,CHP000193,
Conics,CHP000355,
Trigonometric_Equation,CHP000384,
Circle,CHP000386,
Compound_Angles_Factorisation_Formulae,CHP000387,
Relations_and_Functions,CHP000396,
Locus_and_Straight_line,CHP000410,
