Chapter_Name,Chapter_Code,Concept_Name,  ,    ,      ,        ,          ,            ,              ,                ,                  ,                    ,                      ,                        ,                            ,                                ,                                    ,                                        ,                                                      ,                                              ,                                                                    ,                                                 ,                                                                           ,                                                                                  ,                                                                                               ,                                                                                                           
Alkanes,CHP000080,New Testing 2,,,,,,,,,,,,,,,,,,,,,,,,Chem1
Alkenes,CHP000167,bbb,,,,,,,,,,,,,,,,,,,,,,,,New Testing 2
Alkynes,CHP000018,,,,,,,,,,,,,,,,,,,,,,,,,Testing excel import
Aromatic_Compond,CHP000019,,,,,,,,,,,,,,,,,,,,,,,,,aaa
Atomic_Structure_I,CHP000050,,,,,,,,,,,,,,,,,,,,,,,,,bbb
Atomic_Structure_II,CHP000171,,,,,,,,,,,,,,,,,,,,,,,,,aaa
Basic Concepts of Chemistry,C151000210,,,,,,,,,,,,,,,,,,,,,,,,,ccc
Basic_Principle_and_Techniques_In_Org_Chem_Part_2,CHP000017,,,,,,,,,,,,,,,,,,,,,,,,,
Basic_principles_and_Techniques_in_Organic_Chemistry_I,CHP000188,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Eqilibirum,C151000499,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical_Bonding_I,CHP000052,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical_Bonding_II,CHP000190,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical_Equilibrium,CHP000298,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical_Thermodynamics_and_Energetics_I,CHP000375,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical_Thermodynamics_and_Energetics_II,CHP001571,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental_Chemistry,CHP000047,,,,,,,,,,,,,,,,,,,,,,,,,
Gaseous_State,CHP000056,,,,,,,,,,,,,,,,,,,,,,,,,
General_Organic_Chemistry,CHP000179,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocarbon,C151000292,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocarbon_Entrance,CHP000168,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen,CHP000296,,,,,,,,,,,,,,,,,,,,,,,,,
Ionic_Equilibrium_I,CHP000162,,,,,,,,,,,,,,,,,,,,,,,,,
Ionic_Equilibrium_II,CHP000170,,,,,,,,,,,,,,,,,,,,,,,,,
Isomerism ( Structural ),C151000468,,,,,,,,,,,,,,,,,,,,,,,,,
Mole_and_Equivalent_Concept,CHP000053,,,,,,,,,,,,,,,,,,,,,,,,,
NOCB,C151000180,,,,,,,,,,,,,,,,,,,,,,,,,
p_block_elements,CHP000037,,,,,,,,,,,,,,,,,,,,,,,,,
Periodic Table,CHP000051,,,,,,,,,,,,,,,,,,,,,,,,,
Redox_Reaction,CHP000054,,,,,,,,,,,,,,,,,,,,,,,,,
Revision,C161000522,,,,,,,,,,,,,,,,,,,,,,,,,
s_block_elements,CHP000036,,,,,,,,,,,,,,,,,,,,,,,,,
Solution Collegative Properties,C151000190,,,,,,,,,,,,,,,,,,,,,,,,,
Surface_Chemistry,CHP000169,,,,,,,,,,,,,,,,,,,,,,,,,
