Chapter_Name,Chapter_Code,Concept_Name
NOCB,C151000180,Chem1
Solution Collegative Properties,C151000190,Chem1
Basic Concepts of Chemistry,C151000210,Chem1
Hydrocarbon,C151000292,Chem1
Isomerism ( Structural ),C151000468,Chem1
Chemical E,C151000499,Chem1
Revision,C161000522,Chem1
Basic_Principle_and_Techniques_In_Org_Chem_Part_2,CHP,Chem1
Alkynes,CHP000018,
Aromatic_Compond,CHP000019,
s_block_elements,CHP000036,Chem2
p_block_elements,CHP000037,Chem2
Environmental_Chemistry,CHP000047,Chem2
Atomic_Structure_I,CHP000050,Chem2
Periodic Table,CHP000051,Chem2
Chemical_Bonding_I,CHP000052,Chem2
Mole_and_Equivalent_Concept,CHP000053,Chem2
Redox_Reaction,CHP000054,Chem2
Gaseous_State,CHP000056,Chem2
Alkanes,CHP000080,Chem2
Ionic_Equilibrium_I,CHP000162,Chem2
Alkenes,CHP000167,
Hydrocarbon_Entrance,CHP000168,
Surface_Chemistry,CHP000169,
Ionic_Equilibrium_II,CHP000170,
Atomic_Structure_II,CHP000171,
General_Organic_Chemistry,CHP000179,
Basic_principles_and_Techniques_in_Organic_Chemistry_I,CHP000188,Chem2
Chemical_Bonding_II,CHP000190,
Hydrogen,CHP000296,
Chemical_Equilibrium,CHP000298,
Chemical_Thermodynamics_and_Energetics_I,CHP000375,
Chemical_Thermodynamics_and_Energetics_II,CHP001571,
