Subject_Display_Name,Subject,Chapter_Display_Name,Chapter,Topic_Display_Name,Topic,SubTopic_Display_Name,SubTopic,Module_Display_Name,Module,LessonPlan_Display_Name,Lesson_Plan_Name
,,,,,,,,,,,
*,*,*,*,*,*,,,*,*,*,*
,,,,,,,,,,,
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,01-Defination_And_Features,M1,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,02-Types_of_Partners,M2,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,03-Partnership_Deed,M3,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,04-Indian_Partnership_Act_1932,M4,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,05-Methods_of_Capital_Accounts,M5,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,06-Specimen_Journal_Entries,M6,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,07-Journal_Entries_Current_Acs,M7,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,08-Current_Accounts,M8,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,09-Fluctuating_Capital_Account,M9,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,10-Q1_Part_I,M10,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,11-Q1_Part_II,M11,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,01-Introduction to Partnership Firm,01-Introduction_to_Partnership_Firm,,,12-Q2_Part_I_and_II,M12,Lecture 1,Lecture_1
Book Keeping,Book_Keeping,02-Partnership Final Accounts,02-Partnership_Final_Accounts,02-Partnership Final Accounts,02-Partnership_Final_Accounts,,,01-PFA_Introduction,M1,Lecture 1,Lecture_1
